#,Champion,Played,Gold,CS,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken,Double Kill,Triple Kill,Quadra Kill,Penta Kill
1,Sett,65%,"11,319",196.2,13,7,"119,242","24,581",26,3,,
2,LeBlanc,60%,"11,088",195.5,22,7,"106,392","18,195",31,5,,
3,Zoe,51%,"11,157",204.4,19,8,"128,864","12,841",16,1,,
4,Sylas,39%,"11,586",207.4,16,10,"127,437","27,230",17,4,1,
5,Lucian,60%,"11,599",226.2,13,7,"145,098","16,110",12,2,1,
6,Pantheon,46%,"11,276",198.7,13,8,"118,957","18,465",19,1,,
7,Akali,59%,"10,796",213.6,11,6,"120,968","19,408",15,3,,
8,Irelia,41%,"13,349",258.9,14,9,"174,692","26,488",16,3,1,
9,Syndra,63%,"12,397",229.4,11,8,"150,067","14,140",4,,,
10,Kalista,50%,"11,002",211.7,9,10,"123,551","15,629",7,,,
11,Diana,43%,"11,884",238.4,11,8,"154,393","17,005",3,2,,
12,Jayce,33%,"13,474",274.5,12,10,"188,912","17,902",7,,,
13,Rumble,64%,"12,259",213.1,11,7,"137,536","21,546",2,,,
14,Yasuo,30%,"11,817",243.5,11,6,"172,727","15,001",7,2,,
15,Azir,67%,"11,063",217.7,6,6,"124,394","12,772",3,,,
16,Mordekaiser,29%,"9,395",203.1,6,7,"114,510","20,855",1,,,
17,Fizz,67%,"11,132",207.5,9,7,"120,274","20,755",2,,,
18,Lee Sin,50%,"10,720",155.0,10,7,"146,863","27,249",5,1,,
19,Poppy,50%,"11,377",198.8,13,7,"119,396","23,663",3,,,
20,Aatrox,80%,"9,842",188.2,6,7,"103,006","20,287",1,1,,
21,Ornn,80%,"10,156",185.4,5,6,"100,700","22,500",,,,
22,Ezreal,60%,"11,314",223.8,8,7,"135,240","16,045",4,,,
23,Twisted Fate,75%,"15,879",277.8,11,4,"211,248","21,538",4,,,
24,Ekko,75%,"11,538",240.3,7,5,"171,438","25,574",2,,,
25,Ryze,50%,"12,674",247.0,10,8,"195,006","23,621",4,,,
26,Thresh,50%,"7,405",36.3,2,6,"21,678","14,665",,,,
27,Renekton,0%,"10,490",215.8,5,9,"143,021","39,446",,,,
28,Gangplank,100%,"15,804",267.0,11,6,"277,640","25,318",4,,,
29,Pyke,100%,"10,416",41.3,12,5,"24,606","15,298",2,1,,
30,Rek'Sai,67%,"10,142",168.0,3,3,"157,379","24,369",,,,
31,Qiyana,67%,"13,986",204.3,15,7,"141,819","19,416",4,,,
32,Aphelios,67%,"12,964",249.3,6,4,"162,723","11,404",1,,,
33,Cassiopeia,33%,"11,948",251.3,8,4,"166,297","21,137",2,1,,
34,Viktor,0%,"14,819",284.7,11,5,"201,237","13,710",2,1,,
35,Taliyah,0%,"11,762",242.0,8,5,"163,586","16,524",,,,
36,Nidalee,100%,"11,670",168.0,16,2,"157,831","22,476",2,,,
37,Lissandra,100%,"10,808",213.5,5,1,"133,137","9,244",,,,
38,Nocturne,100%,"13,857",230.5,10,9,"175,102","32,350",,,,
39,Kassadin,100%,"8,009",133.5,7,3,"66,731","15,235",,,,
40,Rakan,50%,"8,123",37.5,4,7,"20,803","16,381",,,,
41,Tristana,50%,"12,530",231.0,8,6,"158,034","18,981",1,,,
42,Kled,50%,"9,935",156.5,9,6,"89,265","25,972",1,,,
43,Bard,50%,"7,376",32.5,5,4,"25,313","14,564",,,,
44,Caitlyn,50%,"13,776",268.5,6,6,"205,797","12,294",,,,
45,Leona,0%,"7,973",39.0,3,8,"26,781","26,283",,,,
46,Senna,0%,"9,701",51.5,6,7,"52,403","17,353",,,,
47,Miss Fortune,0%,"13,448",290.5,3,5,"195,236","12,846",,,,
48,Gragas,100%,"8,401",137.0,5,0,"125,541","15,956",,,,
49,Orianna,100%,"15,044",242.0,10,4,"173,423","19,841",,,,
50,Nautilus,100%,"6,742",36.0,1,4,"21,426","10,469",,,,
51,Sion,100%,"13,528",277.0,2,3,"179,212","40,356",,,,
52,Volibear,100%,"8,824",42.0,4,2,"28,154","16,378",1,,,
53,Kai'Sa,100%,"13,097",232.0,7,3,"160,190","15,860",1,,,
54,Kennen,100%,"7,987",144.0,5,4,"70,459","14,041",,,,
55,Vladimir,100%,"13,378",266.0,7,1,"201,927","27,722",,,,
56,Katarina,100%,"8,545",128.0,6,1,"67,832","9,444",1,,,
57,Blitzcrank,0%,"8,585",41.0,3,5,"24,837","23,456",,,,
58,Jarvan IV,0%,"11,942",185.0,4,7,"162,525","38,088",,,,
59,Darius,0%,"14,533",281.0,5,6,"183,433","39,207",,,,
60,Rengar,0%,"10,371",148.0,6,7,"145,469","33,631",1,,,
61,Nunu & Willump,0%,"11,305",135.0,9,9,"90,232","34,677",1,1,,
62,Olaf,0%,"11,929",167.0,8,5,"168,421","29,587",2,,,
63,Malphite,0%,"8,856",158.0,4,4,"86,175","12,730",,,,
64,Karma,0%,"9,592",180.0,3,5,"103,589","13,310",,,,
65,Corki,0%,"9,211",185.0,1,5,"106,802","12,938",,,,
66,Dr. Mundo,0%,"9,216",184.0,1,3,"171,649","33,312",,,,
67,Camille,0%,"14,867",289.0,7,3,"175,914","24,480",1,,,
